날짜,출발,도착,금액,용도,증빙,상태,메모
2026-04-01,회원김OO,단체통장,220000,4월회비,이체내역,완료,
2026-04-01,회원이OO,단체통장,220000,4월회비,이체내역,완료,
2026-04-01,회원박OO,단체통장,220000,4월회비,이체내역,완료,
2026-04-03,교회,단체통장,280000,4월월세,이체내역,완료,전대차계약
2026-04-05,단체통장,아버지통장,500000,연습실임대료,이체내역,완료,임대차계약
2026-04-10,단체통장,강사박OO,773600,강사비(세후),이체내역,완료,800000-3.3%
2026-04-10,단체통장,국세청,26400,원천세(3.3%),홈택스,완료,반기납가능
2026-04-30,아버지통장,단체통장,175000,관리수수료,이체내역,완료,월세175만x10%
,,,,,,,,
,,,,자금추적 요약,,,,
아버지→단체,,,,175000,관리수수료,,
단체→아버지,,,,500000,임대료,,
순이동(아버지→단체),,,,순수입325000,,,아버지가더냄
,,,,,,,,
교회→단체,,,,280000,월세,,
단체→아버지(원임대료전달),,,,200000,원임대료,,
순이동(교회→단체잔여),,,,80000,단체수익,,
