날짜,구분,카테고리,항목,상세내용,금액,결제수단,증빙유형,메모
2026-04-01,수입,회비,정기회비,김OO 4월 회비,220000,계좌이체,통장내역,
2026-04-01,수입,회비,정기회비,이OO 4월 회비,220000,계좌이체,통장내역,
2026-04-03,수입,임대,교회월세,교회 4월 월세,280000,계좌이체,통장내역,
2026-04-05,지출,장소,임대료,연습실 4월분,500000,계좌이체,통장내역,아버지계좌
2026-04-07,지출,식비,간식,과일(연습간식),30000,카드,카드전표,OO마트
2026-04-07,지출,교통,주유비,관리업무 이동,50000,카드,카드전표,GS칼텍스
2026-04-08,지출,사무,복사,악보 복사 30부,15000,카드,카드전표,OO복사
2026-04-10,지출,교육,강사비,박OO 4월 강사비,800000,계좌이체,용역계약서,원천세별도
2026-04-12,지출,사무,사무용품,A4 볼펜 파일,25000,카드,카드전표,알파문구
2026-04-15,지출,식비,회의비,임원회의 식사,45000,카드,카드전표,3인식사
2026-04-18,지출,교통,주차비,연습실 주차,5000,카드,카드전표,
2026-04-20,지출,통신,인터넷,연습실 인터넷,33000,자동이체,고지서,
2026-04-22,지출,식비,다과,커피 티백 구입,18000,카드,카드전표,이마트
2026-04-25,지출,시설,청소용품,세제 걸레 휴지,22000,카드,카드전표,다이소
2026-04-28,지출,교통,톨게이트,관리업무 이동,4400,하이패스,ETC내역,
2026-04-30,수입,관리,관리수수료,4월 관리수수료,175000,계좌이체,통장내역,아버지→단체
,,,,,,,,
,,,,월간 요약,,,,
,,,,총 수입,,895000,,
,,,,총 지출,,547400,,
,,,,잔여,,347600,,
,,,,비용처리율,,61%,,
